tis	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
vervreuget	vervreemden	V(participle,past)
mits	mits	Conj(coord)
duse	du+zij	Adv(dem)
hebst	hebben	V(fin,pres,aux_cop)
bewaret	bewaren	V(fin,pres,lex)
dy	du	Pron(pers,2,sing)
maken	maken	V(infin)
hooch	hoog	Adj()
vermaret	vermaard	V(participle,past)
oock	ook	Adv(gener)
sal	zullen	V(fin,pres,aux_cop)
mijn	mijn	Pron(poss)
tong	tong	N(sing)
uyt	uit	Adp()
gantscher	gans	Adv(gener)
